fromNode,toNode,value,interaction,selfLoop,label,guid
Biology,Flow (psychology),1,,False,,0
Flux Balance Analysis,Flow (psychology),1,,False,,1
Steady State,Fluxomics,1,,False,,10
Computation,Fluxomics,1,,False,,100
Geometric Programming,FluxBalanceAnalysis,2,,False,,1000
Environmental Science,Scalability,2,,False,,1001
Environmental Science,FluxBalanceAnalysis,2,,False,,1002
Respiration,Food Science,1,,False,,1003
Respiration,FluxBalanceAnalysis,1,,False,,1004
Bioplastic,Biochemistry,2,,False,,1005
Bioplastic,FluxBalanceAnalysis,2,,False,,1006
Gene Deletion,FluxBalanceAnalysis,2,,False,,1007
Microorganism,Gene Deletion,1,,False,,1008
Microorganism,FluxBalanceAnalysis,2,,False,,1009
Computation,Flux Balance Analysis,6,,False,,101
Redox Cycling,FluxBalanceAnalysis,2,,False,,1010
Head And Neck Cancer,Redox Cycling,1,,False,,1011
Head And Neck Cancer,FluxBalanceAnalysis,2,,False,,1012
Overfitting,Metabolic Engineering,1,,False,,1013
Overfitting,Flux Balance Analysis,2,,False,,1014
Monte Carlo Method,Biological Network,2,,False,,1015
Chemistry,Computational Biology,1,,False,,1016
Chemistry,Flux Balance Analysis,1,,False,,1017
Chromatography,Ethanol Fuel,2,,False,,1018
Ethanol Fuel,Flux Balance Analysis,2,,False,,1019
Metabolic Engineering,Proteomics,4,,False,,102
Timeline,Metabolic Engineering,4,,False,,1020
Timeline,Flux Balance Analysis,2,,False,,1021
Biological Network,Mathematics,2,,False,,1022
Trial And Error,Genetic Algorithm,1,,False,,1023
Trial And Error,Flux Balance Analysis,2,,False,,1024
Null Model,Botany,2,,False,,1025
Null Model,Flux Balance Analysis,2,,False,,1026
Stochastic Game,Mathematics,2,,False,,1027
Stochastic Game,Flux Balance Analysis,2,,False,,1028
Crystallography,Flux (metallurgy),2,,False,,1029
Metabolism,Biochemistry,29,,False,,103
Crystallography,Flux Balance Analysis,4,,False,,1030
PEP Group Translocation,Biochemistry,2,,False,,1031
PEP Group Translocation,Flux BalanceAnalysis,2,,False,,1032
Chemical Synthesis,Chromatography,1,,False,,1033
Chemical Synthesis,Flux BalanceAnalysis,2,,False,,1034
Recombinant Protein Production,Flux BalanceAnalysis,2,,False,,1035
Recombinant Protein Production,Stringent Response,2,,False,,1036
Flux BalanceAnalysis,Stringent Response,2,,False,,1037
Biofuel,Control Theory,2,,False,,1038
Biofuel,Flux BalanceAnalysis,6,,False,,1039
Metabolism,Flux Balance Analysis,14,,False,,104
Control Theory,Flux BalanceAnalysis,2,,False,,1040
Pseudomonas Putida,Flux BalanceAnalysis,2,,False,,1041
Chemostat,Pseudomonas Putida,1,,False,,1042
Chemostat,Flux BalanceAnalysis,2,,False,,1043
Nash Equilibrium,Metabolic Network,1,,False,,1044
Nash Equilibrium,Flux BalanceAnalysis,2,,False,,1045
Enterobacteriaceae,Metabolism,1,,False,,1046
Enterobacteriaceae,Flux BalanceAnalysis,1,,False,,1047
Computer Science,Metabolic Network,2,,False,,1048
Mixed Acid Fermentation,Genetics,2,,False,,1049
Mathematical Model,Biofuel,1,,False,,105
Mixed Acid Fermentation,Flux Balance Analysis,2,,False,,1050
Crystallography,Monte Carlo Method,2,,False,,1051
Lipid Metabolism,Gene Expression Profiling,2,,False,,1052
Mitochondrion,Bioinformatics,2,,False,,1053
Metabolic Engineering,Scalability,2,,False,,1054
Scalability,Flux Balance Analysis,2,,False,,1055
Systems Medicine,Metabolomics,1,,False,,1056
Systems Medicine,Flux Balance Analysis,2,,False,,1057
Nutraceutical,Metabolic Engineering,1,,False,,1058
Nutraceutical,Flux Balance Analysis,2,,False,,1059
Mathematical Model,Flux Balance Analysis,2,,False,,106
Phosphoenolpyruvate Carboxykinase,Biochemistry,1,,False,,1060
Phosphoenolpyruvate Carboxykinase,Flux Balance Analysis,2,,False,,1061
Glycolysis,Mathematics,2,,False,,1062
Biochemistry,Metabolic Flux Analysis,2,,False,,1063
Metabolic Flux Analysis,Flux Balance Analysis,2,,False,,1064
Protein Biosynthesis,Metabolic Engineering,2,,False,,1065
Genetic Algorithm,Mathematics,2,,False,,1066
Mitosome,Biological Network,1,,False,,1067
Mitosome,Flux Balance Analysis,2,,False,,1068
Oscillation,Computer Science,2,,False,,1069
Biological Database,Metabolomics,2,,False,,107
Oscillation,Flux Balance Analysis,2,,False,,1070
Biomass,Flux BalanceAnalysis,2,,False,,1071
Directed Hypergraph,Biomass,1,,False,,1072
Directed Hypergraph,Flux BalanceAnalysis,1,,False,,1073
Genetics,Drug Discovery,2,,False,,1074
Prediction Algorithms,Computational Biology,1,,False,,1075
Prediction Algorithms,Flux BalanceAnalysis,2,,False,,1076
Differential Evolution,Flux BalanceAnalysis,2,,False,,1077
Gene Deletions,Differential Evolution,1,,False,,1078
Gene Deletions,Flux BalanceAnalysis,2,,False,,1079
Biological Database,Flux Balance Analysis,2,,False,,108
Computation,Bioinformatics,2,,False,,1080
Computation,Flux BalanceAnalysis,2,,False,,1081
Distributed Element Model,Flux BalanceAnalysis,2,,False,,1082
Uncertainty Quantification,Distributed Element Model,1,,False,,1083
Uncertainty Quantification,Flux BalanceAnalysis,2,,False,,1084
Internal Medicine,Biology,1,,False,,1085
Internal Medicine,Flux BalanceAnalysis,2,,False,,1086
Linear Programming,Optimal Control,2,,False,,1087
Optimal Control,Flux BalanceAnalysis,2,,False,,1088
Mathematical Optimization,Biochemistry,2,,False,,1089
Genetics,Botany,2,,False,,109
Mathematical Optimization,Flux BalanceAnalysis,2,,False,,1090
Differential Search Algorithm,Flux BalanceAnalysis,1,,False,,1091
Xylitol,Flux BalanceAnalysis,1,,False,,1092
Xylitol,Differential Search Algorithm,1,,False,,1093
Biophysics,Bacterial Growth,2,,False,,1094
Bacterial Growth,Flux BalanceAnalysis,2,,False,,1095
Singular Value Decomposition,Steady State,2,,False,,1096
Singular Value Decomposition,Flux BalanceAnalysis,2,,False,,1097
Yeast Metabolism,Synthetic Biology,2,,False,,1098
Yeast Metabolism,Flux BalanceAnalysis,2,,False,,1099
Steady State,Flux Balance Analysis,18,,False,,11
Botany,Flux Balance Analysis,28,,False,,110
Synthetic Biology,Flux BalanceAnalysis,2,,False,,1100
Rhizosphere,Computational Biology,1,,False,,1101
Rhizosphere,Flux BalanceAnalysis,2,,False,,1102
Nutrient,Mathematics,1,,False,,1103
Nutrient,Flux BalanceAnalysis,2,,False,,1104
Neuroprotection,Ketone Bodies,2,,False,,1105
Neuroprotection,Flux BalanceAnalysis,2,,False,,1106
Ketone Bodies,Flux BalanceAnalysis,2,,False,,1107
Metabolic Engineering,Biomarker (medicine),2,,False,,1108
Genetics,Metabolism,2,,False,,1109
Ecology,Biology,8,,False,,111
Design of Experiments,Metabolic Engineering,1,,False,,1110
Design of Experiments,Flux BalanceAnalysis,2,,False,,1111
Information Theory,Computer Science,1,,False,,1112
Information Theory,Flux BalanceAnalysis,2,,False,,1113
Nitrogen Cycle,Bioinformatics,2,,False,,1114
Carbon Sequestration,Environmental Chemistry,2,,False,,1115
Carbon Sequestration,Flux BalanceAnalysis,2,,False,,1116
Environmental Chemistry,Flux BalanceAnalysis,2,,False,,1117
High-performance Liquid Chromatography,Flux BalanceAnalysis,2,,False,,1118
High-performance Liquid Chromatography,Metabolic Network,2,,False,,1119
Ecology,Genetics,6,,False,,112
Serotype,Biology,2,,False,,1120
Serotype,Flux BalanceAnalysis,2,,False,,1121
Photosynthesis,Flux BalanceAnalysis,2,,False,,1122
Terpenoid,Photosynthesis,1,,False,,1123
Terpenoid,Flux BalanceAnalysis,1,,False,,1124
Metabolic Engineering,Isotopic Labeling,2,,False,,1125
Ordinary Differential Equation,Flux BalanceAnalysis,2,,False,,1126
Differential Equation,Ordinary Differential Equation,1,,False,,1127
Differential Equation,Flux BalanceAnalysis,1,,False,,1128
Metabolic Engineering,Thermophile,2,,False,,1129
Steady State,Experimental Data,2,,False,,113
Thermophile,Flux BalanceAnalysis,2,,False,,1130
Systems Biology,Flux BalanceAnalysis,2,,False,,1131
Glycolate Metabolism,Systems Biology,1,,False,,1132
Glycolate Metabolism,Flux BalanceAnalysis,2,,False,,1133
Bilevel Optimization,Flux BalanceAnalysis,2,,False,,1134
Boolean Data Type,Bilevel Optimization,1,,False,,1135
Boolean Data Type,Flux BalanceAnalysis,2,,False,,1136
Ode,Petri Net,2,,False,,1137
Ode,Flux BalanceAnalysis,2,,False,,1138
Chemical Industry,Flux BalanceAnalysis,2,,False,,1139
Systems Analysis,Bioinformatics,4,,False,,114
Computer Science,Mathematical Model,2,,False,,1140
Mathematical Model,Flux BalanceAnalysis,2,,False,,1141
Principal Component Analysis,Computer Science,2,,False,,1142
Principal Component Analysis,Flux BalanceAnalysis,2,,False,,1143
Flux BalanceAnalysis,Personalized Medicine,2,,False,,1144
Cancer Metabolism,Flux BalanceAnalysis,1,,False,,1145
Cancer Metabolism,Personalized Medicine,2,,False,,1146
Bioinformatics,Natural Selection,2,,False,,1147
Natural Selection,Flux BalanceAnalysis,4,,False,,1148
Biofuel,Genetics,2,,False,,1149
Systems Analysis,Flux Balance Analysis,2,,False,,115
Ecology,Osmoprotectant,2,,False,,1150
Osmoprotectant,Flux BalanceAnalysis,2,,False,,1151
Directed Evolution,Metabolic Engineering,1,,False,,1152
Directed Evolution,Flux BalanceAnalysis,2,,False,,1153
Mathematical And Theoretical Biology,Flux BalanceAnalysis,2,,False,,1154
Second-order Cone Programming,Mathematical And Theoretical Biology,1,,False,,1155
Second-order Cone Programming,Flux BalanceAnalysis,2,,False,,1156
Source Code,Genetics,2,,False,,1157
Source Code,Flux BalanceAnalysis,2,,False,,1158
Quantum Mechanics,Natural Selection,2,,False,,1159
Homeostasis,Bioinformatics,1,,False,,116
Quantum Mechanics,Flux BalanceAnalysis,2,,False,,1160
Boolean Network,Drug Discovery,2,,False,,1161
Boolean Network,Flux BalanceAnalysis,2,,False,,1162
Specification,Flux BalanceAnalysis,1,,False,,1163
Modelling Biological Systems,Flux BalanceAnalysis,1,,False,,1164
Modelling Biological Systems,Specification,1,,False,,1165
Compartmentalization (psychology),Genetics,2,,False,,1166
Compartmentalization (psychology),Flux BalanceAnalysis,2,,False,,1167
Stochastic Simulation,Ecology,1,,False,,1168
Stochastic Simulation,Flux BalanceAnalysis,2,,False,,1169
Homeostasis,Flux Balance Analysis,2,,False,,117
Biophysics,Mitochondrion,2,,False,,1170
Mitochondrion,Flux BalanceAnalysis,2,,False,,1171
Cancer Cell,Biology,1,,False,,1172
Cancer Cell,Flux BalanceAnalysis,2,,False,,1173
Timeline,FluxBalanceAnalysis,2,,False,,1174
Computational Science,Visualization,2,,False,,1175
Computational Science,FluxBalanceAnalysis,2,,False,,1176
Simulated Annealing,FluxBalanceAnalysis,1,,False,,1177
Simulated Annealing,Metabolic Engineering,1,,False,,1178
Machine Learning,FluxBalanceAnalysis,2,,False,,1179
Enzyme Kinetics,Bioinformatics,2,,False,,118
Cancer,FluxBalanceAnalysis,2,,False,,1180
